timestamp_ms,names,temperatures
1749491223334,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[32.02, 31.78, 31.62, 30.79, 30.02]"
1749491223839,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[32.0, 31.75, 31.53, 30.76, 30.02]"
1749491224337,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.97, 31.71, 31.48, 30.76, 29.99]"
1749491224832,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.97, 31.61, 31.48, 30.74, 30.02]"
1749491225342,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.97, 31.71, 31.48, 30.74, 30.02]"
1749491225837,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[32.02, 31.71, 31.48, 30.76, 30.02]"
1749491226334,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[32.0, 31.63, 31.48, 30.74, 29.97]"
1749491226839,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.93, 31.56, 31.39, 30.74, 29.97]"
1749491227335,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.93, 31.56, 31.34, 30.69, 29.88]"
1749491227839,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.93, 31.59, 31.32, 30.65, 29.83]"
1749491228334,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.88, 31.49, 31.27, 30.6, 29.74]"
1749491228840,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.93, 31.45, 31.27, 30.6, 29.74]"
1749491229333,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.93, 31.42, 31.25, 30.55, 29.69]"
1749491229837,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.83, 31.42, 31.25, 30.46, 29.69]"
1749491230339,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.83, 31.38, 31.2, 30.41, 29.65]"
1749491230835,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.78, 31.33, 31.15, 30.37, 29.6]"
1749491231341,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.78, 31.19, 31.11, 30.32, 29.55]"
1749491231834,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.74, 31.16, 31.11, 30.32, 29.46]"
1749491232338,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.64, 31.12, 30.92, 30.25, 29.42]"
1749491232836,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.62, 31.07, 30.92, 30.2, 29.37]"
1749491233340,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.57, 31.02, 30.9, 30.18, 29.46]"
1749491233833,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 31.0, 30.82, 30.04, 29.28]"
1749491234339,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 30.95, 30.82, 30.09, 29.28]"
1749491234835,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 30.91, 30.82, 30.06, 29.32]"
1749491235339,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 30.88, 30.82, 30.04, 29.3]"
1749491235832,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.53, 30.95, 30.82, 30.09, 29.32]"
1749491236334,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.53, 30.91, 30.85, 30.09, 29.3]"
1749491236839,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 30.91, 30.87, 30.18, 29.35]"
1749491237337,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 30.95, 30.9, 30.18, 29.39]"
1749491237831,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 30.98, 30.87, 30.18, 29.39]"
1749491238333,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 31.0, 30.92, 30.18, 29.44]"
1749491238838,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 31.0, 30.92, 30.2, 29.46]"
1749491239335,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 31.02, 30.94, 30.2, 29.55]"
1749491239835,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 31.05, 30.97, 30.23, 29.62]"
