timestamp_ms,names,temperatures
1749504655172,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.2, 30.84, 30.87, 30.18, 29.6]"
1749504655370,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.84, 30.87, 30.18, 29.6]"
1749504655567,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.22, 30.86, 30.87, 30.23, 29.6]"
1749504655774,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.9, 30.23, 29.58]"
1749504655972,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.87, 30.2, 29.6]"
1749504656168,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.85, 30.18, 29.58]"
1749504656374,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.87, 30.18, 29.55]"
1749504656571,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.87, 30.18, 29.55]"
1749504656767,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.82, 30.18, 29.55]"
1749504656975,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.22, 30.86, 30.82, 30.09, 29.55]"
1749504657171,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.22, 30.88, 30.82, 30.53, 29.58]"
1749504657366,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.22, 30.86, 30.82, 30.16, 29.55]"
1749504657573,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 30.88, 30.8, 30.06, 29.46]"
1749504657768,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.88, 30.8, 30.09, 29.46]"
1749504657973,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.8, 30.09, 29.46]"
1749504658168,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.82, 30.09, 29.44]"
1749504658374,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.78, 30.09, 29.46]"
1749504658570,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.78, 30.04, 29.42]"
1749504658774,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.38, 30.86, 30.78, 30.04, 29.42]"
1749504658970,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 30.86, 30.8, 30.06, 29.44]"
1749504659176,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.38, 30.86, 30.78, 30.06, 29.44]"
1749504659371,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 30.81, 30.73, 30.04, 29.42]"
1749504659576,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 30.86, 30.78, 30.04, 29.37]"
1749504659773,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 30.91, 30.8, 30.04, 29.42]"
1749504659968,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 30.86, 30.78, 30.04, 29.37]"
1749504660174,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.38, 30.84, 30.78, 30.04, 29.39]"
1749504660370,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.81, 30.75, 30.04, 29.37]"
1749504660575,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 30.84, 30.75, 30.06, 29.37]"
1749504660771,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.38, 30.81, 30.78, 30.04, 29.39]"
1749504660968,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 30.84, 30.78, 30.06, 29.42]"
1749504661173,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.81, 30.75, 30.04, 29.37]"
1749504661370,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.77, 30.78, 30.11, 29.09]"
1749504661566,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 30.81, 30.78, 30.04, 29.42]"
1749504661771,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 30.81, 30.75, 30.04, 29.44]"
1749504661975,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.79, 30.73, 30.06, 29.44]"
1749504662169,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.79, 30.75, 30.04, 29.46]"
1749504662375,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.79, 30.75, 30.04, 29.44]"
1749504662569,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.81, 30.78, 30.09, 29.46]"
1749504662774,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.81, 30.75, 30.04, 29.46]"
1749504662968,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.78, 30.04, 29.46]"
1749504663174,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.81, 30.78, 30.04, 29.44]"
1749504663370,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.38, 30.86, 30.78, 30.04, 29.55]"
1749504663566,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.34, 30.86, 30.78, 30.09, 29.55]"
1749504663771,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.82, 30.09, 29.58]"
1749504663969,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.22, 30.84, 30.82, 30.09, 29.55]"
1749504664174,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.22, 30.81, 30.82, 30.09, 29.6]"
1749504664372,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.22, 30.84, 30.82, 30.11, 29.6]"
1749504664568,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.86, 30.82, 30.11, 29.65]"
1749504664775,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.2, 30.86, 30.8, 30.06, 29.62]"
1749504664973,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.22, 30.86, 30.82, 30.18, 29.65]"
1749504665168,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.91, 30.87, 30.16, 29.72]"
1749504665373,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.2, 30.95, 30.82, 30.11, 29.69]"
1749504665569,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.91, 30.87, 30.18, 29.74]"
1749504665773,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 30.98, 30.9, 30.18, 29.74]"
1749504665969,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 31.0, 30.87, 30.2, 29.74]"
